Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-20,EQ,"5,190.00","5,253.75","5,161.00","5,170.95","5,214.00","5,205.10","5,208.41","5,512.65","2,495.05",1207238,"6,28,77,92,726.95",67624
30-Dec-20,EQ,"5,191.45","5,191.45","5,142.50","5,165.60","5,165.00","5,170.95","5,162.52","5,512.65","2,495.05",475269,"2,45,35,87,389.20",32851
29-Dec-20,EQ,"5,225.00","5,269.00","5,145.60","5,201.80","5,155.00","5,165.60","5,198.60","5,512.65","2,495.05",882433,"4,58,74,18,828.50",69669
28-Dec-20,EQ,"5,228.15","5,235.00","5,187.00","5,201.80","5,198.00","5,201.80","5,214.54","5,512.65","2,495.05",411173,"2,14,40,76,747.90",27717
24-Dec-20,EQ,"5,247.00","5,247.00","5,165.00","5,224.10","5,203.95","5,201.80","5,198.04","5,512.65","2,495.05",675636,"3,51,19,84,134.45",51937
23-Dec-20,EQ,"5,161.45","5,238.70","5,131.25","5,161.80","5,217.90","5,224.10","5,192.16","5,512.65","2,495.05",812470,"4,21,84,75,764.25",52903
22-Dec-20,EQ,"5,107.70","5,175.00","4,936.35","5,068.55","5,150.00","5,161.80","5,084.74","5,512.65","2,495.05",1552824,"7,89,57,13,795.60",113483
21-Dec-20,EQ,"5,243.00","5,274.20","4,962.05","5,228.75","5,061.00","5,068.55","5,172.03","5,512.65","2,495.05",1812257,"9,37,30,40,723.65",127585
18-Dec-20,EQ,"5,080.00","5,262.85","5,078.15","5,072.85","5,243.00","5,228.75","5,197.14","5,512.65","2,495.05",3705133,"19,25,61,08,513.85",126944
17-Dec-20,EQ,"5,050.00","5,134.50","5,030.00","5,038.95","5,074.45","5,072.85","5,096.16","5,512.65","2,495.05",1360601,"6,93,38,35,693.75",74620
16-Dec-20,EQ,"5,050.00","5,051.75","5,006.00","5,031.35","5,045.00","5,038.95","5,028.99","5,512.65","2,495.05",832456,"4,18,64,09,015.45",53788
15-Dec-20,EQ,"5,046.95","5,076.00","5,010.20","5,022.80","5,026.00","5,031.35","5,040.94","5,512.65","2,495.05",1005104,"5,06,66,72,700.95",61344
